Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,Product Type,New Column,Test,Test2
23-02-2023,East, laptop,14,163.6,Store B, Wholesale,FALSE,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,23-02-2023,27-02-2023,Eric,Laptop and Accessories,1,1,1
19-12-2024,South, Phone,1,544.01,Store A, Retail,0,Alice,544.01,Gift Cardd,SAVE10,0,REG100001,Cust 2144,5.3,19-12-2024,28-12-2024,Sophie,Mobile Devices,2,2,2
10-05-2023,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,10-05-2023,19-05-2023,Ryan,Office Accessories,2,3,3
26-02-2025,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,26-02-2025,02-03-2025,Cameron,Office Accessories,2.666666667,4,4
24-06-2023,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,24-06-2023,27-06-2023,Eric,Office Accessories,3.166666667,5,5
20-02-2024,Central,Monitor,2,385.09,Store D, Wholesale,0.15,Diana,654.653,Credit Card,,0,REG100005,Cust 3909,11.92,20-02-2024,01-03-2024,Cameron,Laptop and Accessories,3.666666667,6,6
11-01-2023,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Cardd,WINTER15,0,REG100006,Cust 7887,5.02,11-01-2023,14-01-2023,Sophie,Office Accessories,4.166666667,7,7
09-01-2023,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash,,0,REG100007,Cust 5301,48.01,09-01-2023,11-01-2023,Cameron,Office Accessories,4.666666667,8,8
16-10-2024,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,16-10-2024,18-10-2024,Sophie,Office Accessories,5.166666667,9,9
05-03-2025,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,05-03-2025,13-03-2025,Wendy,Office Accessories,5.666666667,10,10
10-04-2024,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.9475,Debit Card,,0,REG100010,Cust 1462,12.14,10-04-2024,17-04-2024,Ryan,Office Accessories,6.166666667,11,11
12-07-2024,East,Phone,19,207.35,Store D,Retail,0.1,Eva,3545.685,Gift Card,,1,REG100011,Cust 4330,44.89,12-07-2024,18-07-2024,Eric,Mobile Devices,6.666666667,12,12
21-07-2023,,phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,21-07-2023,31-07-2023,Cameron,Mobile Devices,7.166666667,13,13
18-01-2025,West,Tablet,1,157.83,Store A,Wholesale,0.15,Carlos,134.1555,Debit Card,,0,REG100013,Cust 4672,42.82,18-01-2025,22-01-2025,Wendy,Mobile Devices,7.666666667,14,14
08-12-2024,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card,,0,REG100014,Cust 4548,39.66,08-12-2024,15-12-2024,Ryan,Office Accessories,8.166666667,15,15
